Price,Rating,No_of_ratings,TotalReviews,RamSize (GB),RomSize (GB)
8199,4.3,505,52,4.0,64.0
7999,4.1,56085,5600,4.0,64.0
7999,4.1,56085,5600,4.0,64.0
7499,4.3,183688,11185,4.0,64.0
9999,4.2,16249,1639,4.0,64.0
7199,4.3,209377,12027,4.0,64.0
7199,4.3,209377,12027,4.0,64.0
11999,4.3,33258,2972,4.0,64.0
16499,4.4,44415,2930,6.0,128.0
14999,4.5,36109,2083,4.0,64.0
14999,4.5,36109,2083,4.0,64.0
14999,4.1,8567,933,6.0,128.0
13999,4.2,41124,3691,6.0,128.0
12999,4.2,20882,2628,6.0,128.0
16499,4.4,44415,2930,6.0,128.0
13999,4.2,32083,2613,4.0,128.0
16499,4.4,44415,2930,6.0,128.0
14999,4.5,36109,2083,4.0,64.0
12999,4.2,20882,2628,6.0,128.0
14999,4.3,137778,11213,6.0,128.0
16990,4.4,157801,12539,6.0,128.0
9999,4.2,16249,1639,4.0,64.0
14999,4.1,8567,933,6.0,128.0
10999,4.1,3075,385,4.0,64.0
16499,4.4,44415,2930,6.0,128.0
8199,4.3,505,52,4.0,64.0
8199,4.3,505,52,4.0,64.0
8199,4.3,505,52,4.0,64.0
16990,4.4,157801,12539,6.0,128.0
15990,4.3,59607,4787,4.0,128.0
16998,4.3,30409,1886,6.0,64.0
9999,4.3,165144,10864,4.0,64.0
9999,4.3,165144,10864,4.0,64.0
7499,4.3,183688,11185,4.0,64.0
13999,4.2,22699,1884,6.0,128.0
11999,4.5,68117,3863,4.0,64.0
11999,4.5,68117,3863,4.0,64.0
11999,4.2,45400,3749,4.0,64.0
13999,4.2,22699,1884,6.0,128.0
18999,4.2,5211,703,6.0,128.0
13999,4.2,32083,2613,4.0,128.0
15990,4.3,59607,4787,4.0,128.0
5799,4.4,15648,823,2.0,32.0
9499,3.7,26741,3220,4.0,64.0
5799,4.4,15648,823,2.0,32.0
12599,4.5,116293,6868,4.0,128.0
12999,4.5,68117,3863,4.0,128.0
12999,4.5,68117,3863,4.0,128.0
8899,4.2,14750,1095,4.0,64.0
8899,4.2,14750,1095,4.0,64.0
5799,4.4,15648,823,2.0,32.0
9999,4.3,165144,10864,4.0,64.0
13599,4.5,25752,1531,6.0,128.0
12599,4.5,116293,6868,4.0,128.0
14499,4.5,74897,5493,4.0,128.0
14499,4.5,74897,5493,4.0,128.0
10999,4.1,3075,385,4.0,64.0
14999,4.1,4878,776,6.0,128.0
11999,4.3,33258,2972,4.0,64.0
20499,4.1,3123,411,8.0,128.0
14999,4.4,3415,211,6.0,128.0
16499,4.3,130276,11960,6.0,128.0
7599,4.2,9919,738,3.0,64.0
15999,4.4,43289,3353,6.0,128.0
15999,4.4,43289,3353,6.0,128.0
18999,4.4,3410,339,6.0,128.0
19999,4.4,1963,193,8.0,128.0
8899,4.2,14750,1095,4.0,64.0
12999,4.4,108205,6211,4.0,128.0
14599,4.4,55583,4035,6.0,128.0
14599,4.4,55583,4035,6.0,128.0
14599,4.4,55583,4035,6.0,128.0
18999,4.2,5211,703,6.0,128.0
14999,4.2,7856,692,8.0,128.0
16990,4.4,157801,12539,6.0,128.0
14999,4.2,7856,692,8.0,128.0
7199,4.3,209377,12027,4.0,64.0
12999,4.4,108205,6211,4.0,128.0
20499,4.1,3123,411,8.0,128.0
9999,4.2,31884,3711,4.0,64.0
16999,4.1,1949,229,8.0,128.0
5999,4.3,66939,3492,2.0,32.0
5999,4.3,66939,3492,2.0,32.0
12999,4.4,108205,6211,4.0,128.0
19999,4.2,61334,6308,6.0,128.0
14999,4.1,4878,776,6.0,128.0
11999,4.1,12475,1337,6.0,128.0
35999,4.4,29082,3001,8.0,128.0
15499,4.2,52420,4434,6.0,128.0
13990,4.4,95135,7013,6.0,128.0
15599,4.4,20705,1568,8.0,128.0
13990,4.4,95135,7013,6.0,128.0
11999,4.2,21630,1610,6.0,128.0
9999,4.2,31884,3711,4.0,64.0
12999,4.2,10906,1285,6.0,64.0
24999,4.1,3589,526,8.0,128.0
9999,4.2,22608,2286,4.0,64.0
9999,4.2,22608,2286,4.0,64.0
6999,4.1,32757,2159,3.0,32.0
